run,case,variant,ns,min_ns,max_ns,cycles,throughput,allocs,reallocs,frees,allocated_bytes,freed_bytes
2,load/320x80,old,217181.2,210443.8,239862.5,475876.0,4604.4,5,0,5,103122,103122
2,prewarm/320x80,new,175062.5,171768.8,208418.8,383425.4,5712.2,3,0,3,532,532
2,prewarm/320x80,old,215725.0,211262.5,224875.0,472693.2,4635.5,5,0,5,103122,103122
2,validate/320x80,new,94406.2,93300.0,130593.8,206796.4,10592.5,1,0,1,190,190
2,validate/320x80,old,96506.2,94618.8,110550.0,211940.9,10362.0,2,0,2,102590,102590
2,load/1024x512,new,1252206.2,1227443.8,1294375.0,2722774.0,798.6,4,0,4,2097684,2097684
2,load/1024x512,old,1264112.5,1245050.0,1299481.2,2748071.4,791.1,5,0,5,2097874,2097874
2,prewarm/1024x512,new,689587.5,673050.0,726856.2,1497868.1,1450.1,3,0,3,532,532
2,prewarm/1024x512,old,1339912.5,1302106.2,1463837.5,2856312.4,746.3,5,0,5,2097874,2097874
2,validate/1024x512,new,646950.0,629381.2,682431.2,1405252.8,1545.7,1,0,1,190,190
2,validate/1024x512,old,1200837.5,1184793.8,1225168.8,2607056.3,832.8,2,0,2,2097342,2097342
2,load/2048x2048,new,7612868.8,7494706.2,8020956.2,16545169.4,131.4,4,0,4,16777748,16777748
2,load/2048x2048,old,7969500.0,7801725.0,8149275.0,17290646.1,125.5,5,0,5,16777938,16777938
2,prewarm/2048x2048,new,3990206.2,3974612.5,4199650.0,8682926.0,250.6,3,0,3,532,532
2,prewarm/2048x2048,old,8050325.0,7836643.8,8352906.2,17459866.9,124.2,5,0,5,16777938,16777938
2,validate/2048x2048,new,4439243.8,3915375.0,6841793.8,9662074.4,225.3,1,0,1,190,190
2,validate/2048x2048,old,7763325.0,7661562.5,7899975.0,16881868.2,128.8,2,0,2,16777406,16777406
2,prune/unrelated0,new,79725.0,78806.2,96850.0,174639.7,12543.1,6,5,6,1230,1230
2,prune/unrelated0,old,79193.8,78893.8,98362.5,173761.7,12627.3,7,6,7,1278,1278
2,prune/unrelated1,new,103243.8,100168.8,158318.8,224150.8,9685.8,7,5,7,1249,1249
2,prune/unrelated1,old,162062.5,143587.5,174100.0,355411.7,6170.5,12,11,12,2451,2451
2,prune/unrelated128,new,234550.0,215781.2,248843.8,514302.2,545725.9,134,5,134,3662,3662
2,prune/unrelated128,old,5836037.5,5482225.0,6303393.8,12713193.0,21932.7,647,646,647,151422,151422
