run,scenario,implementation,ns_per_op,ns_min,ns_max,thread_cycles_per_op,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,phase_128_peak_false_after,old,2158.6,1929.9,2202.3,4732.1,59297864.6,0,0,0,0,0
1,phase_128_peak_false_after,new,1540.4,1531.6,1820.1,3375.2,83093698.5,0,0,0,0,0
1,phase_128_peak_true_before,old,2927.3,2638.9,3597.5,6422.9,43725647.2,0,0,0,0,0
1,phase_128_peak_true_before,new,2504.9,2310.0,2706.4,5501.6,51100194.9,0,0,0,0,0
1,phase_128_peak_true_late,old,201591.8,200181.6,223853.5,441847.5,634946.5,0,0,0,0,0
1,phase_128_peak_true_late,new,31196.9,30027.3,32645.3,68388.8,4102975.1,0,0,0,0,0
1,phase_128_peak_true_after,old,2039.5,1749.6,2161.7,4480.0,62761923.0,0,0,0,0,0
1,phase_128_peak_true_after,new,1634.4,1438.7,1994.5,3592.2,78317399.6,0,0,0,0,0
1,sample_stream_0,old,37.5,34.4,40.6,130.3,0.0,0,0,0,0,0
1,sample_stream_0,new,18.8,18.8,21.9,89.2,0.0,0,0,0,0,0
1,sample_stream_1,old,1056.2,1050.0,2068.8,2366.5,946745.6,2,0,2,1868,1868
1,sample_stream_1,new,1156.2,640.6,1190.6,2586.0,864864.9,1,0,1,1360,1360
1,sample_stream_16,old,33353.1,29340.6,37400.0,73265.0,479715.2,10,4,10,50336,50336
1,sample_stream_16,new,22009.4,18809.4,24343.8,48180.2,726962.9,9,4,9,42208,42208
1,sample_stream_256,old,224131.2,206446.9,301496.9,490150.4,1142187.9,147,8,147,825878,825878
1,sample_stream_256,new,325506.2,315843.8,347568.8,713217.2,786467.2,146,8,146,695830,695830
1,sample_stream_1024,old,1569371.9,1381815.6,1638731.2,3435271.0,652490.3,586,10,586,3307616,3307616
1,sample_stream_1024,new,1481793.8,1452531.2,1493125.0,3245273.2,691054.3,585,10,585,2787424,2787424
1,explosion_1_overlap_false,old,1231.2,1206.2,2237.5,2798.6,812182.7,3,1,3,5112,5112
1,explosion_1_overlap_false,new,1075.0,1062.5,1112.5,2455.6,930232.6,2,1,2,4096,4096
1,explosion_1_overlap_true,old,1306.2,1300.0,2443.8,2976.9,765550.2,3,1,3,5112,5112
1,explosion_1_overlap_true,new,1200.0,1093.8,2287.5,2730.0,833333.3,2,1,2,4096,4096
1,explosion_16_overlap_false,old,74593.8,69137.5,86087.5,163843.1,214495.2,9,9,9,102128,102128
1,explosion_16_overlap_false,new,32187.5,25956.2,38318.8,69595.2,497087.4,5,9,5,85872,85872
1,explosion_16_overlap_true,old,12543.8,11668.8,15262.5,27643.2,1275535.6,9,7,9,36848,36848
1,explosion_16_overlap_true,new,10618.8,9925.0,12425.0,23417.9,1506768.7,5,7,5,20592,20592
1,explosion_128_overlap_false,old,432831.2,418706.2,460787.5,949214.1,295727.3,9,24,9,826992,826992
1,explosion_128_overlap_false,new,174406.2,170231.2,208825.0,382327.9,733918.7,5,24,5,696944,696944
1,explosion_128_overlap_true,old,105237.5,93200.0,116562.5,231188.4,1216296.5,9,19,9,136176,136176
1,explosion_128_overlap_true,new,68337.5,66425.0,79693.8,150124.2,1873056.5,5,19,5,22384,22384
1,explosion_512_overlap_false,old,2786618.8,2700562.5,2997506.2,6103197.3,183735.2,9,34,9,3312240,3312240
1,explosion_512_overlap_false,new,2263975.0,2201893.8,2320156.2,4952647.1,226150.9,5,34,5,2792048,2792048
1,explosion_512_overlap_true,old,554943.8,511143.8,609487.5,1215961.6,922616.0,9,27,9,337392,337392
1,explosion_512_overlap_true,new,348925.0,342300.0,385925.0,764395.1,1467364.0,5,27,5,28528,28528
1,speed_install,old,1509.4,1312.5,1656.2,3368.0,662525.9,8,0,0,378,0
1,speed_install,new,2246.9,1887.5,2990.6,4986.8,445062.6,9,1,0,778,128
1,speed_read_default_receiver_false,old,30437.9,29113.3,31767.6,66727.1,4205284.8,0,0,0,0,0
1,speed_read_default_receiver_false,new,30372.3,28969.1,34407.0,66497.3,4214371.1,0,0,0,0,0
1,speed_read_default_receiver_true,old,50135.5,48980.5,51976.6,109911.2,2553078.8,128,0,128,5120,5120
1,speed_read_default_receiver_true,new,51125.8,49519.5,52800.4,112083.1,2503629.2,128,0,128,5120,5120
1,speed_read_active_receiver_false,old,56369.9,53659.8,58708.2,123564.8,2270714.5,128,0,128,512,512
1,speed_read_active_receiver_false,new,50313.7,48871.5,51621.9,110333.9,2544040.1,0,0,0,0,0
1,speed_read_active_receiver_true,old,80102.0,77507.0,98334.8,175356.5,1597963.5,256,0,256,5632,5632
1,speed_read_active_receiver_true,new,70368.4,68789.8,73128.1,154197.9,1818999.4,128,0,128,5120,5120
1,speed_read_inactive_receiver_false,old,42376.6,40044.1,43600.0,92885.4,3020537.6,128,0,128,512,512
1,speed_read_inactive_receiver_false,new,34692.6,34225.8,37860.5,76028.5,3689550.0,0,0,0,0,0
1,speed_read_inactive_receiver_true,old,62428.9,61234.4,65482.0,136827.4,2050332.3,256,0,256,5632,5632
1,speed_read_inactive_receiver_true,new,54353.9,53096.9,56578.5,119100.2,2354936.5,128,0,128,5120,5120
1,speed_read_cleared_receiver_false,old,42082.8,39747.7,43356.6,92203.7,3041621.8,128,0,128,512,512
1,speed_read_cleared_receiver_false,new,35233.2,33401.2,35720.7,77218.6,3632936.8,0,0,0,0,0
1,speed_read_cleared_receiver_true,old,60914.8,60641.8,62234.4,133323.1,2101294.1,256,0,256,5632,5632
1,speed_read_cleared_receiver_true,new,54910.2,53975.0,55521.5,120130.8,2331080.6,128,0,128,5120,5120
2,phase_1_peak_false_before,new,2162.5,2028.3,2265.0,4750.1,59190751.4,0,0,0,0,0
2,phase_1_peak_false_before,old,2421.5,2195.7,2792.6,5312.6,52860138.7,0,0,0,0,0
2,phase_1_peak_false_late,new,2245.1,2109.2,2557.2,4931.5,57012614.2,0,0,0,0,0
2,phase_1_peak_false_late,old,2444.7,2194.3,2650.8,5369.6,52357593.7,0,0,0,0,0
2,phase_1_peak_false_after,new,1315.4,1204.9,1498.6,2891.2,97306607.3,0,0,0,0,0
2,phase_1_peak_false_after,old,1755.3,1676.0,2033.0,3855.8,72923111.2,0,0,0,0,0
2,phase_1_peak_true_before,new,2253.1,2045.9,2479.9,4939.2,56809986.1,0,0,0,0,0
2,phase_1_peak_true_before,old,2508.8,2275.4,2752.5,5510.7,51020630.6,0,0,0,0,0
2,phase_1_peak_true_late,new,2157.8,2018.8,2312.3,4739.4,59319333.8,0,0,0,0,0
2,phase_1_peak_true_late,old,2410.0,2272.1,2843.9,5283.4,53112894.1,0,0,0,0,0
2,phase_1_peak_true_after,new,1290.4,1240.6,1446.7,2826.1,99191766.3,0,0,0,0,0
2,phase_1_peak_true_after,old,1860.9,1717.6,2013.5,4080.5,68782535.7,0,0,0,0,0
2,phase_2_peak_false_before,new,2250.4,2138.7,2385.4,4936.6,56879014.1,0,0,0,0,0
2,phase_2_peak_false_before,old,2395.3,2276.0,2653.1,5261.1,53437703.8,0,0,0,0,0
2,phase_2_peak_false_late,new,2881.4,2702.1,3156.1,6318.8,44422151.4,0,0,0,0,0
2,phase_2_peak_false_late,old,3854.9,3513.7,4017.4,8457.2,33204641.0,0,0,0,0,0
2,phase_2_peak_false_after,new,1369.7,1204.1,1482.4,3002.7,93449308.4,0,0,0,0,0
2,phase_2_peak_false_after,old,1814.6,1668.0,2004.1,3986.6,70537078.9,0,0,0,0,0
2,phase_2_peak_true_before,new,2110.9,2045.5,2474.2,4629.2,60636565.5,0,0,0,0,0
2,phase_2_peak_true_before,old,2547.5,2281.8,2891.2,5596.8,50246109.0,0,0,0,0,0
2,phase_2_peak_true_late,new,3056.4,2698.2,3226.2,6705.5,41878714.3,0,0,0,0,0
2,phase_2_peak_true_late,old,3852.7,3759.2,4109.8,8452.9,33223157.3,0,0,0,0,0
2,phase_2_peak_true_after,new,1416.6,1200.2,1653.1,3103.9,90357093.6,0,0,0,0,0
2,phase_2_peak_true_after,old,1810.4,1686.7,2044.7,3977.2,70704498.9,0,0,0,0,0
2,phase_8_peak_false_before,new,2239.5,2124.0,2324.4,4912.2,57156811.4,0,0,0,0,0
2,phase_8_peak_false_before,old,2405.7,2292.4,2780.9,5274.0,53207761.6,0,0,0,0,0
2,phase_8_peak_false_late,new,4105.7,3907.0,4395.9,9009.4,31176442.6,0,0,0,0,0
2,phase_8_peak_false_late,old,12915.2,12154.5,13428.1,28300.1,9910776.4,0,0,0,0,0
2,phase_8_peak_false_after,new,1327.5,1283.2,1558.8,2917.4,96419008.4,0,0,0,0,0
2,phase_8_peak_false_after,old,1845.7,1773.0,1922.5,4047.0,69350264.6,0,0,0,0,0
2,phase_8_peak_true_before,new,2209.4,2053.3,2559.4,4842.3,57934936.4,0,0,0,0,0
2,phase_8_peak_true_before,old,2558.8,2341.6,2621.9,5610.5,50023662.3,0,0,0,0,0
2,phase_8_peak_true_late,new,4154.7,3985.9,4543.9,9114.4,30808574.7,0,0,0,0,0
2,phase_8_peak_true_late,old,12965.0,12677.0,15037.9,28394.8,9872704.5,0,0,0,0,0
2,phase_8_peak_true_after,new,1326.0,1240.4,1350.2,2904.1,96532626.3,0,0,0,0,0
2,phase_8_peak_true_after,old,1789.1,1668.0,1897.9,3924.0,71545851.5,0,0,0,0,0
2,phase_32_peak_false_before,new,2221.9,1994.7,2418.2,4871.0,57609001.4,0,0,0,0,0
2,phase_32_peak_false_before,old,2532.6,2202.7,2799.0,5564.7,50540603.1,0,0,0,0,0
2,phase_32_peak_false_late,new,8954.7,8466.8,9377.7,19621.7,14294189.5,0,0,0,0,0
2,phase_32_peak_false_late,old,50869.9,50157.0,52189.8,111536.9,2516221.7,0,0,0,0,0
2,phase_32_peak_false_after,new,1378.1,1240.2,1507.6,3018.1,92879818.6,0,0,0,0,0
2,phase_32_peak_false_after,old,1889.6,1680.1,2075.4,4143.5,67737467.7,0,0,0,0,0
2,phase_32_peak_true_before,new,2266.2,2090.8,2406.4,4977.8,56481944.3,0,0,0,0,0
2,phase_32_peak_true_before,old,2502.7,2490.0,2666.0,5489.2,51144061.2,0,0,0,0,0
2,phase_32_peak_true_late,new,9477.5,9470.5,9581.8,20780.9,13505615.7,0,0,0,0,0
2,phase_32_peak_true_late,old,51295.7,50843.9,53869.5,112417.9,2495335.7,0,0,0,0,0
2,phase_32_peak_true_after,new,1337.3,1175.6,1585.2,2931.1,95714911.6,0,0,0,0,0
2,phase_32_peak_true_after,old,1957.6,1516.4,2103.5,4300.4,65385613.1,0,0,0,0,0
2,phase_128_peak_false_before,new,2276.2,2208.0,2376.2,4995.3,56234769.2,0,0,0,0,0
2,phase_128_peak_false_before,old,2589.8,2226.0,2694.3,5680.4,49423831.1,0,0,0,0,0
2,phase_128_peak_false_late,new,30508.2,29688.9,31139.3,66870.8,4195592.9,0,0,0,0,0
2,phase_128_peak_false_late,old,203966.2,203493.2,210783.2,446857.0,627554.9,0,0,0,0,0
2,phase_128_peak_false_after,new,1349.0,1200.4,1571.5,2953.0,94883451.6,0,0,0,0,0
2,phase_128_peak_false_after,old,1822.1,1756.4,2316.8,4002.9,70249758.8,0,0,0,0,0
2,phase_128_peak_true_before,new,2099.0,2064.8,2329.5,4603.1,60980738.8,0,0,0,0,0
2,phase_128_peak_true_before,old,2497.1,2283.0,2796.1,5475.1,51260070.4,0,0,0,0,0
2,phase_128_peak_true_late,new,31806.2,31100.6,32292.6,69732.0,4024366.3,0,0,0,0,0
2,phase_128_peak_true_late,old,205752.5,200851.8,211543.8,450967.5,622106.5,0,0,0,0,0
2,phase_128_peak_true_after,new,1341.4,1283.2,1460.9,2941.0,95422248.1,0,0,0,0,0
2,phase_128_peak_true_after,old,1823.2,1725.6,2157.0,4005.4,70204606.3,0,0,0,0,0
2,sample_stream_0,new,18.8,18.8,21.9,89.2,0.0,0,0,0,0,0
2,sample_stream_0,old,37.5,37.5,40.6,123.5,0.0,0,0,0,0,0
2,sample_stream_1,new,796.9,790.6,803.1,1790.3,1254902.0,1,0,1,1360,1360
2,sample_stream_1,old,1103.1,1100.0,1118.8,2469.4,906515.6,2,0,2,1868,1868
2,sample_stream_16,new,7528.1,7009.4,8659.4,16572.2,2125363.2,9,4,9,42208,42208
2,sample_stream_16,old,35106.2,33053.1,36175.0,77126.8,455759.3,10,4,10,50336,50336
2,sample_stream_256,new,212687.5,201009.4,236150.0,465929.9,1203643.8,146,8,146,695830,695830
2,sample_stream_256,old,218553.1,202993.8,250243.8,479292.0,1171339.9,147,8,147,825878,825878
2,sample_stream_1024,new,1285296.9,1239456.2,1376231.2,2815547.1,796703.1,585,10,585,2787424,2787424
2,sample_stream_1024,old,1208903.1,1135606.2,1325359.4,2645612.9,847048.8,586,10,586,3307616,3307616
2,explosion_1_overlap_false,new,1187.5,1181.2,1243.8,2716.3,842105.3,2,1,2,4096,4096
2,explosion_1_overlap_false,old,1325.0,1300.0,2531.2,3004.4,754717.0,3,1,3,5112,5112
2,explosion_1_overlap_true,new,1187.5,1181.2,1206.2,2702.6,842105.3,2,1,2,4096,4096
2,explosion_1_overlap_true,old,1318.8,1300.0,1362.5,2990.7,758293.8,3,1,3,5112,5112
2,explosion_16_overlap_false,new,25950.0,25300.0,28043.8,57097.4,616570.3,5,9,5,85872,85872
2,explosion_16_overlap_false,old,73825.0,61356.2,87975.0,162169.4,216728.8,9,9,9,102128,102128
2,explosion_16_overlap_true,new,10625.0,9025.0,13662.5,23417.9,1505882.4,5,7,5,20592,20592
2,explosion_16_overlap_true,old,14131.2,12387.5,18412.5,31114.1,1132242.4,9,7,9,36848,36848
2,explosion_128_overlap_false,new,177012.5,168675.0,183587.5,388583.6,723112.8,5,24,5,696944,696944
2,explosion_128_overlap_false,old,323881.2,316981.2,346593.8,709300.5,395206.6,9,24,9,826992,826992
2,explosion_128_overlap_true,new,69031.2,68400.0,70031.2,151866.6,1854232.7,5,19,5,22384,22384
2,explosion_128_overlap_true,old,107693.8,105825.0,110637.5,236086.0,1188555.5,9,19,9,136176,136176
2,explosion_512_overlap_false,new,2130281.2,2064300.0,2161725.0,4662879.7,240343.9,5,34,5,2792048,2792048
2,explosion_512_overlap_false,old,2569575.0,2536356.2,2628531.2,5627088.4,199254.7,9,34,9,3312240,3312240
2,explosion_512_overlap_true,new,364700.0,351500.0,369737.5,799761.9,1403893.6,5,27,5,28528,28528
2,explosion_512_overlap_true,old,558850.0,535193.8,595587.5,1224617.9,916167.1,9,27,9,337392,337392
2,speed_install,old,1534.4,1440.6,1762.5,3422.8,651731.2,8,0,0,378,0
2,speed_install,new,2593.8,1893.8,3034.4,5720.7,385542.2,9,1,0,778,128
2,speed_read_default_receiver_false,new,32988.3,31544.1,34359.0,72258.4,3880165.8,0,0,0,0,0
2,speed_read_default_receiver_false,old,30853.1,30082.4,32011.3,67615.4,4148688.3,0,0,0,0,0
2,speed_read_default_receiver_true,new,51601.2,50996.5,52781.2,113130.0,2480563.8,128,0,128,5120,5120
2,speed_read_default_receiver_true,old,50835.2,49595.7,52169.1,111452.8,2517942.5,128,0,128,5120,5120
2,speed_read_active_receiver_false,new,51235.2,48938.3,53889.5,112284.5,2498284.6,0,0,0,0,0
2,speed_read_active_receiver_false,old,58218.0,56829.3,59772.3,127615.2,2198633.9,128,0,128,512,512
2,speed_read_active_receiver_true,new,69359.0,68116.8,70183.6,152032.9,1845471.1,128,0,128,5120,5120
2,speed_read_active_receiver_true,old,76789.5,74562.9,77819.5,168317.9,1666895.6,256,0,256,5632,5632
2,speed_read_inactive_receiver_false,new,36008.2,34783.2,37373.0,78962.6,3554745.6,0,0,0,0,0
2,speed_read_inactive_receiver_false,old,41959.8,41687.5,44849.6,91940.5,3050541.3,128,0,128,512,512
2,speed_read_inactive_receiver_true,new,54422.7,53486.7,58059.0,119091.6,2351961.6,128,0,128,5120,5120
2,speed_read_inactive_receiver_true,old,62018.8,59677.7,63817.6,135949.4,2063892.0,256,0,256,5632,5632
2,speed_read_cleared_receiver_false,new,35241.4,34265.2,36970.7,77234.8,3632091.2,0,0,0,0,0
2,speed_read_cleared_receiver_false,old,42993.4,41301.6,44618.8,94242.7,2977204.0,128,0,128,512,512
2,speed_read_cleared_receiver_true,new,54909.4,53207.0,56174.6,120328.0,2331113.8,128,0,128,5120,5120
2,speed_read_cleared_receiver_true,old,62537.9,59885.2,68334.8,137064.9,2046759.2,256,0,256,5632,5632
3,phase_1_peak_false_before,old,2847.9,2754.1,3198.2,6245.9,44946162.8,0,0,0,0,0
3,phase_1_peak_false_before,new,2435.5,2318.0,2696.1,5337.5,52554931.8,0,0,0,0,0
3,phase_1_peak_false_late,old,2663.7,2372.1,3025.0,5843.8,48053966.9,0,0,0,0,0
3,phase_1_peak_false_late,new,2550.0,2195.3,2752.7,5590.4,50196078.4,0,0,0,0,0
3,phase_1_peak_false_after,old,2133.6,1996.5,2415.8,4686.7,59992676.7,0,0,0,0,0
3,phase_1_peak_false_after,new,1874.4,1686.5,2048.4,4117.8,68288006.7,0,0,0,0,0
3,phase_1_peak_true_before,old,3091.6,2364.8,3200.2,6782.2,41402489.1,0,0,0,0,0
3,phase_1_peak_true_before,new,2654.7,2367.4,2965.6,5822.8,48216598.0,0,0,0,0,0
3,phase_1_peak_true_late,old,2762.5,2643.2,3073.4,6045.7,46334841.6,0,0,0,0,0
3,phase_1_peak_true_late,new,2510.7,2444.9,2618.2,5514.5,50980941.3,0,0,0,0,0
3,phase_1_peak_true_after,old,2078.5,1924.6,2136.3,4531.5,61582409.3,0,0,0,0,0
3,phase_1_peak_true_after,new,1664.5,1531.4,1925.8,3656.9,76902135.6,0,0,0,0,0
3,phase_2_peak_false_before,old,2653.7,2535.0,2964.5,5818.9,48234341.7,0,0,0,0,0
3,phase_2_peak_false_before,new,2627.7,2125.6,2822.1,5753.3,48711164.0,0,0,0,0,0
3,phase_2_peak_false_late,old,4116.6,3776.4,4276.8,9031.2,31093609.1,0,0,0,0,0
3,phase_2_peak_false_late,new,2993.0,2735.7,3408.6,6566.6,42766901.6,0,0,0,0,0
3,phase_2_peak_false_after,old,1977.7,1911.7,2093.0,4310.7,64720521.4,0,0,0,0,0
3,phase_2_peak_false_after,new,1695.9,1483.0,2164.3,3725.9,75476217.9,0,0,0,0,0
3,phase_2_peak_true_before,old,3055.9,2596.5,3446.1,6703.8,41886744.2,0,0,0,0,0
3,phase_2_peak_true_before,new,2521.1,2405.7,3273.2,5530.4,50771614.5,0,0,0,0,0
3,phase_2_peak_true_late,old,4050.2,3865.6,4446.1,8885.9,31603414.2,0,0,0,0,0
3,phase_2_peak_true_late,new,3192.8,2941.8,3627.5,7001.3,40090536.5,0,0,0,0,0
3,phase_2_peak_true_after,old,2249.8,1787.1,2600.2,4932.3,56893827.6,0,0,0,0,0
3,phase_2_peak_true_after,new,1770.9,1487.3,1936.3,3890.6,72279695.6,0,0,0,0,0
3,phase_8_peak_false_before,old,2958.8,2829.1,3150.0,6487.3,43260941.3,0,0,0,0,0
3,phase_8_peak_false_before,new,2353.3,2275.2,2506.4,5161.7,54391235.8,0,0,0,0,0
3,phase_8_peak_false_late,old,12845.9,12466.4,13225.8,28149.6,9964270.0,0,0,0,0,0
3,phase_8_peak_false_late,new,4419.3,4075.4,4758.4,9697.4,28963627.5,0,0,0,0,0
3,phase_8_peak_false_after,old,2049.0,1924.6,2201.0,4501.5,62468782.8,0,0,0,0,0
3,phase_8_peak_false_after,new,1700.8,1581.8,1910.5,3729.4,75259531.5,0,0,0,0,0
3,phase_8_peak_true_before,old,2913.3,2775.8,3250.0,6398.1,43936712.3,0,0,0,0,0
3,phase_8_peak_true_before,new,2589.3,2481.6,2680.9,5680.4,49435015.5,0,0,0,0,0
3,phase_8_peak_true_late,old,12836.9,12206.6,13436.9,28159.9,9971243.8,0,0,0,0,0
3,phase_8_peak_true_late,new,4367.0,4181.2,4926.0,9578.3,29310792.1,0,0,0,0,0
3,phase_8_peak_true_after,old,2011.7,1862.7,2153.9,4418.7,63627184.5,0,0,0,0,0
3,phase_8_peak_true_after,new,1765.8,1582.8,2065.4,3872.1,72487556.7,0,0,0,0,0
3,phase_32_peak_false_before,old,2883.4,2500.8,3264.6,6287.5,44392061.2,0,0,0,0,0
3,phase_32_peak_false_before,new,2508.2,2172.3,2786.9,5508.9,51032549.4,0,0,0,0,0
3,phase_32_peak_false_late,old,51614.5,50135.0,54852.3,113157.8,2479925.5,0,0,0,0,0
3,phase_32_peak_false_late,new,9114.8,8810.7,9610.4,19972.8,14043027.3,0,0,0,0,0
