run,order,case,geometries,version,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
2,new-first,ChangeFirst,16,new,48.4,48.4,53.5,106.5,330822816.8,0,0,0,0,0
2,new-first,ChangeFirst,16,old,46.0,46.0,46.0,101.3,347855626.3,0,0,0,0,0
2,new-first,ChangeLast,16,new,50.0,49.9,50.1,110.0,320156326.3,0,0,0,0,0
2,new-first,ChangeLast,16,old,84.2,71.9,106.8,185.1,190069605.6,0,0,0,0,0
2,new-first,Mixed,16,new,67.7,67.6,75.0,149.3,236250901.2,0,0,0,0,0
2,new-first,Mixed,16,old,75.5,70.1,114.9,166.1,211816418.9,0,0,0,0,0
2,new-first,Misses,16,new,150.9,148.8,169.2,329.4,106010999.7,0,0,0,0,0
2,new-first,Misses,16,old,167.5,158.8,195.7,362.5,95505683.5,0,0,0,0,0
2,new-first,Stable,64,new,159.0,148.3,323.3,347.6,402555282.6,0,0,0,0,0
2,new-first,Stable,64,old,190.4,168.7,216.8,417.3,336082051.3,0,0,0,0,0
2,new-first,ChangeFirst,64,new,202.5,177.7,250.5,444.8,316064625.0,0,0,0,0,0
2,new-first,ChangeFirst,64,old,172.3,161.8,222.0,378.6,371361382.6,0,0,0,0,0
2,new-first,ChangeLast,64,new,170.8,164.6,186.7,375.3,374705546.0,0,0,0,0,0
2,new-first,ChangeLast,64,old,296.3,294.9,342.3,648.6,215987476.3,0,0,0,0,0
2,new-first,Mixed,64,new,318.7,291.9,374.9,698.7,200799693.6,0,0,0,0,0
2,new-first,Mixed,64,old,289.9,270.8,362.5,637.1,220734254.0,0,0,0,0,0
2,new-first,Misses,64,new,750.2,734.8,797.5,1646.1,85308340.7,0,0,0,0,0
2,new-first,Misses,64,old,1015.0,788.5,1141.1,2224.5,63053277.2,0,0,0,0,0
2,new-first,Stable,256,new,771.6,652.9,800.7,1679.0,331764854.8,0,0,0,0,0
2,new-first,Stable,256,old,728.4,693.7,819.0,1596.8,351446574.6,0,0,0,0,0
2,new-first,ChangeFirst,256,new,736.5,637.8,807.4,1616.1,347590413.4,0,0,0,0,0
2,new-first,ChangeFirst,256,old,605.6,574.2,746.4,1328.4,422693594.5,0,0,0,0,0
2,new-first,ChangeLast,256,new,603.1,573.1,637.2,1323.1,424490324.7,0,0,0,0,0
2,new-first,ChangeLast,256,old,1213.2,1150.3,1300.0,2661.4,211010806.4,0,0,0,0,0
2,new-first,Mixed,256,new,1169.6,1117.4,1225.8,2564.8,218877408.3,0,0,0,0,0
2,new-first,Mixed,256,old,1127.0,1104.7,1153.4,2471.1,227146416.0,0,0,0,0,0
2,new-first,Misses,256,new,3383.2,3308.8,3477.9,7417.0,75667936.7,0,0,0,0,0
2,new-first,Misses,256,old,3491.8,3388.5,3822.0,7650.6,73315201.1,0,0,0,0,0
3,old-first,Stable,0,old,6.1,5.6,14.3,13.7,164497992.0,0,0,0,0,0
3,old-first,Stable,0,new,5.3,5.2,9.6,12.1,187031963.5,0,0,0,0,0
3,old-first,Stable,1,old,8.3,7.6,16.8,18.5,121183432.0,0,0,0,0,0
3,old-first,Stable,1,new,7.4,7.4,11.7,16.6,134736842.1,0,0,0,0,0
3,old-first,ChangeFirst,1,old,10.4,10.4,10.4,23.2,96150234.7,0,0,0,0,0
3,old-first,ChangeFirst,1,new,8.3,8.3,8.3,18.6,120117302.1,0,0,0,0,0
3,old-first,ChangeLast,1,old,10.4,10.4,10.4,23.2,96150234.7,0,0,0,0,0
3,old-first,ChangeLast,1,new,8.3,8.3,8.3,18.6,120117302.1,0,0,0,0,0
3,old-first,Mixed,1,old,16.4,16.4,21.6,36.2,61134328.4,0,0,0,0,0
3,old-first,Mixed,1,new,13.8,13.8,13.8,30.6,72624113.5,0,0,0,0,0
3,old-first,Misses,1,old,16.6,16.6,16.7,36.7,60324005.9,0,0,0,0,0
3,old-first,Misses,1,new,15.1,15.1,15.1,33.5,66171243.9,0,0,0,0,0
3,old-first,Stable,16,old,43.3,43.3,43.4,95.4,369425028.2,0,0,0,0,0
3,old-first,Stable,16,new,39.6,39.6,43.9,87.2,404293645.9,0,0,0,0,0
3,old-first,ChangeFirst,16,old,48.0,43.8,69.7,105.6,333516539.4,0,0,0,0,0
3,old-first,ChangeFirst,16,new,44.5,44.4,44.5,97.9,359890170.2,0,0,0,0,0
3,old-first,ChangeLast,16,old,74.2,71.8,82.0,160.9,215649884.8,0,0,0,0,0
3,old-first,ChangeLast,16,new,44.4,44.4,44.5,97.9,360087912.1,0,0,0,0,0
3,old-first,Mixed,16,old,65.3,65.3,77.1,143.7,244994392.5,0,0,0,0,0
3,old-first,Mixed,16,new,80.0,66.7,103.2,175.8,200109923.7,0,0,0,0,0
3,old-first,Misses,16,old,155.1,152.1,176.7,338.9,103157563.4,0,0,0,0,0
3,old-first,Misses,16,new,164.4,157.1,248.5,361.1,97349970.3,0,0,0,0,0
3,old-first,Stable,64,old,211.8,155.0,229.9,465.2,302218123.1,0,0,0,0,0
3,old-first,Stable,64,new,149.2,148.3,166.9,327.2,428970708.6,0,0,0,0,0
3,old-first,ChangeFirst,64,old,178.8,153.1,222.4,388.9,357924631.3,0,0,0,0,0
3,old-first,ChangeFirst,64,new,185.2,153.7,253.2,406.8,345608437.7,0,0,0,0,0
3,old-first,ChangeLast,64,old,369.9,329.7,417.2,806.9,173032343.2,0,0,0,0,0
3,old-first,ChangeLast,64,new,183.2,155.7,192.9,402.5,349339019.2,0,0,0,0,0
3,old-first,Mixed,64,old,273.3,263.1,323.7,600.7,234140764.6,0,0,0,0,0
3,old-first,Mixed,64,new,260.3,259.3,412.2,570.5,245913696.1,0,0,0,0,0
3,old-first,Misses,64,old,847.9,805.6,961.0,1860.0,75482737.8,0,0,0,0,0
3,old-first,Misses,64,new,867.9,747.6,1027.8,1903.0,73741596.1,0,0,0,0,0
3,old-first,Stable,256,old,586.8,562.3,645.6,1287.6,436288591.2,0,0,0,0,0
3,old-first,Stable,256,new,591.4,565.2,665.1,1296.6,432902320.2,0,0,0,0,0
3,old-first,ChangeFirst,256,old,604.0,583.0,643.7,1325.5,423838318.5,0,0,0,0,0
3,old-first,ChangeFirst,256,new,605.1,581.9,681.7,1327.8,423085861.8,0,0,0,0,0
3,old-first,ChangeLast,256,old,1206.9,1166.0,1279.4,2647.5,212116357.2,0,0,0,0,0
3,old-first,ChangeLast,256,new,606.9,574.1,634.4,1331.7,421843343.9,0,0,0,0,0
3,old-first,Mixed,256,old,1153.5,1113.2,1382.9,2525.0,221930240.4,0,0,0,0,0
3,old-first,Mixed,256,new,1181.4,1159.0,1428.5,2587.7,216697183.2,0,0,0,0,0
3,old-first,Misses,256,old,3419.7,3360.8,3600.3,7480.5,74859786.4,0,0,0,0,0
3,old-first,Misses,256,new,3431.6,3303.7,3641.5,7519.9,74601478.4,0,0,0,0,0
4,new-first,Stable,0,new,10.2,6.2,14.3,22.7,98461538.5,0,0,0,0,0
4,new-first,Stable,0,old,6.9,6.9,7.0,15.6,144734982.3,0,0,0,0,0
4,new-first,Stable,1,new,9.8,8.3,13.8,21.9,102144638.4,0,0,0,0,0
4,new-first,Stable,1,old,8.3,8.3,8.6,18.5,121183432.0,0,0,0,0,0
4,new-first,ChangeFirst,1,new,8.4,8.3,8.4,18.7,119416909.6,0,0,0,0,0
4,new-first,ChangeFirst,1,old,11.4,11.0,20.4,25.3,88086021.5,0,0,0,0,0
4,new-first,ChangeLast,1,new,8.9,8.8,18.6,19.8,112837465.6,0,0,0,0,0
4,new-first,ChangeLast,1,old,10.4,10.4,10.5,23.2,95700934.6,0,0,0,0,0
4,new-first,Mixed,1,new,19.8,15.0,47.3,43.8,50505548.7,0,0,0,0,0
4,new-first,Mixed,1,old,17.2,17.2,17.3,38.2,58016997.2,0,0,0,0,0
4,new-first,Misses,1,new,16.5,16.0,26.1,36.5,60591716.0,0,0,0,0,0
4,new-first,Misses,1,old,18.3,16.8,31.2,40.5,54759358.3,0,0,0,0,0
4,new-first,Stable,16,new,50.8,45.0,63.2,111.8,314925516.6,0,0,0,0,0
4,new-first,Stable,16,old,47.3,47.3,51.3,104.2,338163054.7,0,0,0,0,0
4,new-first,ChangeFirst,16,new,44.5,44.4,44.5,97.9,359890170.2,0,0,0,0,0
4,new-first,ChangeFirst,16,old,42.3,42.3,42.3,93.1,378383371.8,0,0,0,0,0
4,new-first,ChangeLast,16,new,61.3,49.9,73.1,134.9,260995619.3,0,0,0,0,0
4,new-first,ChangeLast,16,old,74.1,71.8,89.4,160.9,215791899.9,0,0,0,0,0
4,new-first,Mixed,16,new,67.0,66.7,68.9,147.4,238746812.4,0,0,0,0,0
4,new-first,Mixed,16,old,65.2,65.2,67.5,143.5,245361287.9,0,0,0,0,0
4,new-first,Misses,16,new,176.0,161.5,202.2,386.7,90908586.5,0,0,0,0,0
4,new-first,Misses,16,old,163.5,160.8,185.4,358.2,97844132.6,0,0,0,0,0
4,new-first,Stable,64,new,149.7,149.0,183.0,328.2,427501630.8,0,0,0,0,0
4,new-first,Stable,64,old,146.2,145.0,179.5,320.3,437709133.4,0,0,0,0,0
4,new-first,ChangeFirst,64,new,158.3,153.7,257.0,346.9,404418389.4,0,0,0,0,0
4,new-first,ChangeFirst,64,old,182.9,166.2,242.5,399.5,349851861.7,0,0,0,0,0
4,new-first,ChangeLast,64,new,158.1,155.7,186.4,345.1,404855598.5,0,0,0,0,0
4,new-first,ChangeLast,64,old,304.0,294.0,397.2,667.7,210506705.2,0,0,0,0,0
4,new-first,Mixed,64,new,297.9,268.3,339.1,653.5,214819306.7,0,0,0,0,0
4,new-first,Mixed,64,old,250.3,249.2,287.1,548.5,255725295.1,0,0,0,0,0
