run,order,samples,iterations_per_sample,path,logging,variant,ns_per_op,min_ns_per_op,max_ns_per_op,thread_cycles_per_op,calls_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
3,old-first,7,16384,instant-past,formatted,old,1036.2,938.7,1076.2,2272.2,965064.7,0,0,0,0,0
3,old-first,7,16384,instant-past,formatted,new,1021.1,967.2,1051.5,2238.9,979342.0,0,0,0,0,0
3,old-first,7,16384,instant-future,formatted,old,1013.8,969.3,1082.9,2222.5,986411.6,0,0,0,0,0
3,old-first,7,16384,instant-future,formatted,new,1029.2,991.1,1082.8,2256.4,971606.1,0,0,0,0,0
4,new-first,7,1048576,host,off,new,29.9,28.8,30.8,65.4,33433003.3,0,0,0,0,0
4,new-first,7,1048576,host,off,old,32.2,31.4,33.3,70.6,31059623.6,0,0,0,0,0
4,new-first,7,1048576,instant-past,off,new,34.4,32.5,36.3,75.5,29036050.8,0,0,0,0,0
4,new-first,7,1048576,instant-past,off,old,43.0,42.0,43.7,94.1,23270144.9,0,0,0,0,0
4,new-first,7,1048576,instant-future,off,new,41.5,39.9,44.2,90.8,24108631.6,0,0,0,0,0
4,new-first,7,1048576,instant-future,off,old,60.5,60.0,64.5,132.6,16527661.5,0,0,0,0,0
4,new-first,7,1048576,host,filtered,new,30.5,29.6,31.3,66.9,32746612.4,0,0,0,0,0
4,new-first,7,1048576,host,filtered,old,30.0,29.3,32.6,65.8,33316260.7,0,0,0,0,0
4,new-first,7,1048576,instant-past,filtered,new,32.2,31.9,32.9,70.6,31058335.7,0,0,0,0,0
4,new-first,7,1048576,instant-past,filtered,old,42.7,41.4,43.6,93.7,23405662.0,0,0,0,0,0
4,new-first,7,1048576,instant-future,filtered,new,41.4,40.3,42.4,90.7,24151277.1,0,0,0,0,0
4,new-first,7,1048576,instant-future,filtered,old,61.8,60.2,62.2,135.5,16180479.9,0,0,0,0,0
4,new-first,7,16384,host,formatted,new,1039.5,984.0,1121.8,2276.3,962016.1,0,0,0,0,0
4,new-first,7,16384,host,formatted,old,1128.2,1024.4,1175.9,2473.7,886330.7,0,0,0,0,0
4,new-first,7,16384,instant-past,formatted,new,1110.5,1077.6,1152.8,2432.4,900477.1,0,0,0,0,0
4,new-first,7,16384,instant-past,formatted,old,1078.0,1014.3,1146.6,2361.3,927672.8,0,0,0,0,0
4,new-first,7,16384,instant-future,formatted,new,1078.3,992.6,1101.4,2363.7,927373.5,0,0,0,0,0
4,new-first,7,16384,instant-future,formatted,old,1053.5,1006.5,1075.2,2310.3,949224.8,0,0,0,0,0
5,old-first,7,1048576,host,off,old,32.0,31.8,32.6,70.2,31249471.0,0,0,0,0,0
5,old-first,7,1048576,host,off,new,30.9,30.2,34.7,67.7,32363257.0,0,0,0,0,0
5,old-first,7,1048576,instant-past,off,old,44.8,43.9,46.2,98.3,22309605.5,0,0,0,0,0
5,old-first,7,1048576,instant-past,off,new,33.4,33.2,35.4,73.2,29960769.5,0,0,0,0,0
5,old-first,7,1048576,instant-future,off,old,61.7,60.6,65.6,135.2,16211399.3,0,0,0,0,0
5,old-first,7,1048576,instant-future,off,new,41.8,40.8,43.1,91.7,23901238.2,0,0,0,0,0
5,old-first,7,1048576,host,filtered,old,30.7,30.1,32.2,67.2,32600616.2,0,0,0,0,0
5,old-first,7,1048576,host,filtered,new,32.0,30.2,35.4,70.2,31251613.1,0,0,0,0,0
5,old-first,7,1048576,instant-past,filtered,old,43.9,43.2,44.8,96.2,22790869.5,0,0,0,0,0
