suite,run,case,variant,ns,min_ns,max_ns,cycles,throughput,allocs,reallocs,frees,allocated_bytes,freed_bytes
thumbnail,1,thumbnail/sheet1x1/320x160,new,1183400.0,1159593.8,1208318.8,2591609.1,845.0,18,1,18,641281,641281
thumbnail,1,thumbnail/sheet2x1/320x160,old,1144218.8,1129037.5,1230468.8,2506182.4,874.0,19,1,19,743681,743681
thumbnail,1,thumbnail/sheet2x1/320x160,new,1108762.5,1100987.5,1114687.5,2425708.2,901.9,18,1,18,641281,641281
thumbnail,1,thumbnail/sheet16x8/320x160,old,1038737.5,1026043.8,1160537.5,2269712.4,962.7,19,1,19,642884,642884
thumbnail,1,thumbnail/sheet16x8/320x160,new,1044175.0,1022337.5,1105212.5,2281620.2,957.7,18,1,18,641284,641284
thumbnail,1,thumbnail/plain/1024x512,old,9331231.2,9241593.8,9637375.0,20438111.9,107.2,15,1,15,2533597,2533597
thumbnail,1,thumbnail/plain/1024x512,new,9316943.8,9283575.0,9385343.8,20385006.2,107.3,15,1,15,2533597,2533597
thumbnail,1,thumbnail/sheet1x1/1024x512,old,10657156.2,10520075.0,10734268.8,23346376.9,93.8,19,1,19,4630785,4630785
thumbnail,1,thumbnail/sheet1x1/1024x512,new,9602356.2,9443843.8,9748362.5,21032668.2,104.1,18,1,18,2533633,2533633
thumbnail,1,thumbnail/sheet2x1/1024x512,old,9543106.2,9462731.2,9807437.5,20880980.6,104.8,19,1,19,3582209,3582209
thumbnail,1,thumbnail/sheet2x1/1024x512,new,9029662.5,8940881.2,9435868.8,19780708.9,110.7,18,1,18,2533633,2533633
thumbnail,1,thumbnail/sheet16x8/1024x512,old,8450862.5,8320106.2,8709543.8,18508981.0,118.3,19,1,19,2550020,2550020
thumbnail,1,thumbnail/sheet16x8/1024x512,new,8496400.0,8320068.8,8666643.8,18603969.1,117.7,18,1,18,2533636,2533636
thumbnail,1,thumbnail_frame/64x64,old,91575.0,91187.5,93256.2,200869.9,10920.0,2,0,2,30784,30784
thumbnail,1,thumbnail_frame/64x64,new,89287.5,88943.8,93031.2,195835.1,11199.8,1,0,1,14400,14400
thumbnail,1,thumbnail_frame/256x256,old,306662.5,306175.0,319600.0,672465.6,3260.9,2,0,2,276544,276544
