"run","case","channels","variant","median_ns","min_ns","max_ns","thread_cycles","units_per_second","allocs","reallocs","frees","allocated_bytes","freed_bytes"
"2","partial","2","before","53.5","50.7","59.4","117.1","18703196.3","0","0","0","0","0"
"2","partial-tail","2","after","57.2","51.6","60","125.4","17470443.2","0","0","0","0","0"
"2","partial-tail","2","before","55.1","51.5","60","120.8","18132920.1","0","0","0","0","0"
"2","empty","2","after","13.1","11.4","15.1","28.5","76262291.3","0","0","0","0","0"
"2","empty","2","before","12.8","11.4","15.1","28.1","78163277.5","0","0","0","0","0"
"2","full","3","after","83.3","82.2","92.6","182.6","12005349.1","0","0","0","0","0"
"2","full","3","before","78.8","78.1","81.4","172.8","12687866","0","0","0","0","0"
"2","larger","3","after","86.4","80.8","91.7","189.3","11575321.9","0","0","0","0","0"
"2","larger","3","before","85.7","81.5","94.2","187.8","11667957.4","0","0","0","0","0"
"2","partial","3","after","60.8","57.7","65.4","133.2","16455788.4","0","0","0","0","0"
"2","partial","3","before","60","58.3","65.8","131.3","16674129.9","0","0","0","0","0"
"2","partial-tail","3","after","60.9","58.4","63.9","133.5","16410256.4","0","0","0","0","0"
"2","partial-tail","3","before","60.9","59.3","64","133.3","16433712","0","0","0","0","0"
"2","empty","3","after","12.3","11.1","13.8","26.9","81497233.1","0","0","0","0","0"
"2","empty","3","before","12.1","10.8","12.5","26.5","82752699","0","0","0","0","0"
"2","full","6","after","200.4","199.6","210","439.1","4989683.5","0","0","0","0","0"
"2","full","6","before","206.3","203.8","212.9","452.1","4846907.1","0","0","0","0","0"
"2","larger","6","after","205","200.2","209.5","449.3","4878658.8","0","0","0","0","0"
"2","larger","6","before","206.3","199.5","211.5","452.1","4847426.9","0","0","0","0","0"
"2","partial","6","after","128.8","121.3","135.6","282.2","7764836.9","0","0","0","0","0"
"2","partial","6","before","121.1","119.6","125.9","265.4","8257128.1","0","0","0","0","0"
"2","partial-tail","6","after","124.6","121","129.5","273.2","8022524.2","0","0","0","0","0"
"2","partial-tail","6","before","122.8","117.7","131","269.2","8140410.2","0","0","0","0","0"
"2","empty","6","after","11.9","11.6","13.1","26.1","84112173.5","0","0","0","0","0"
"2","empty","6","before","11.7","11.4","13.3","25.7","85194670.1","0","0","0","0","0"
"2","full","8","after","263.5","259.9","272.2","577.4","3794744.7","0","0","0","0","0"
"2","full","8","before","259.9","255.2","268.3","569.3","3847499.6","0","0","0","0","0"
"2","larger","8","after","266.2","263.2","271.1","583.3","3756484.3","0","0","0","0","0"
"2","larger","8","before","265.6","253.6","271.7","582","3764911.3","0","0","0","0","0"
"2","partial","8","after","153.8","146.9","159.3","337","6503587.4","0","0","0","0","0"
"2","partial","8","before","161.1","154.8","170.7","353.1","6206383.9","0","0","0","0","0"
"2","partial-tail","8","after","158.1","155.4","164.6","346.7","6323366.2","0","0","0","0","0"
"2","partial-tail","8","before","162.3","154.2","169.3","355.8","6162091.5","0","0","0","0","0"
"2","empty","8","after","11.9","11.4","13.2","26.2","83869977","0","0","0","0","0"
"2","empty","8","before","12.4","11.6","14.8","27.2","80709359.6","0","0","0","0","0"
"3","full","1","before","49.6","47.4","53","108.8","20143849.5","0","0","0","0","0"
"3","full","1","after","49.8","48.9","50.5","109.3","20066443.1","0","0","0","0","0"
"3","larger","1","before","51","49.6","53","111.7","19607174.4","0","0","0","0","0"
"3","larger","1","after","45.9","45.3","47.2","100.6","21803543.2","0","0","0","0","0"
"3","partial","1","before","45","43.6","46.4","98.4","22245757","0","0","0","0","0"
"3","partial","1","after","45","43.7","47.1","98.6","22246134.5","0","0","0","0","0"
"3","partial-tail","1","before","46","43.7","47","100.7","21751800.6","0","0","0","0","0"
"3","partial-tail","1","after","44.7","44","45.4","98","22387101.2","0","0","0","0","0"
"3","empty","1","before","12.3","11.5","13.2","26.9","81608866.2","0","0","0","0","0"
"3","empty","1","after","12.3","11.9","13.8","27.1","81179239.4","0","0","0","0","0"
