suite,run,case,variant,ns,min_ns,max_ns,cycles,throughput,allocs,reallocs,frees,allocated_bytes,freed_bytes
pack,2,pack_load/1x1,new,1078962.5,984325.0,1166487.5,2328154.4,926.8,68,35,68,170796,170796
pack,2,pack_load/1x1,old,1416350.0,1355862.5,1472225.0,3068116.0,706.0,76,35,76,171635,171635
pack,2,pack_load/64x4,new,80033025.0,76139950.0,82666100.0,173492252.9,799.7,3975,2590,3975,950785,950785
pack,2,pack_load/64x4,old,129804300.0,119972650.0,135913962.5,281878305.0,493.0,5134,2590,5134,1089661,1089661
pack,2,pack_load/512x4,new,652144500.0,627395550.0,685995450.0,1412576556.0,785.1,31455,20512,31455,6442067,6442067
pack,2,pack_load/512x4,old,1040373350.0,988321800.0,1090530400.0,2223475863.5,492.1,40681,20512,40681,7553151,7553151
workshop,2,workshop_choices/0x0,new,12.1,12.1,12.1,26.9,82580645.2,0,0,0,0,0
workshop,2,workshop_choices/0x0,old,44.3,39.5,83.1,97.6,22579933.8,0,0,0,0,0
workshop,2,workshop_choices/1x0,new,2900.0,2881.2,5518.8,6447.8,689655.2,20,0,20,2518,2518
workshop,2,workshop_choices/1x0,old,3687.5,3568.8,7075.0,8162.6,542372.9,32,0,32,2896,2896
workshop,2,workshop_choices/64x0,new,226768.8,207706.2,269212.5,497085.2,564451.7,1187,1,1187,66275,66275
workshop,2,workshop_choices/64x0,old,267756.2,259912.5,288518.8,586984.1,478046.7,2157,0,2157,94745,94745
workshop,2,workshop_choices/512x0,new,1985950.0,1949006.2,2832362.5,4320555.5,515622.2,9446,2,9446,546660,546660
workshop,2,workshop_choices/512x0,old,2667868.8,2496918.8,3105287.5,5640861.9,383827.0,17248,0,17248,779490,779490
workshop,2,workshop_choices/512x4,new,3073487.5,2878831.2,3362137.5,6476841.2,333172.0,9446,1028,9446,776424,776424
workshop,2,workshop_choices/512x4,old,3921787.5,3713668.8,5350181.2,8255971.4,261105.4,25440,2048,25440,1467106,1467106
pack,3,runtime_key/0,old,489.3,411.1,624.0,1013.2,2043912.2,2,2,2,80,80
pack,3,runtime_key/0,new,149.9,129.1,265.9,322.5,6672096.4,1,0,1,27,27
pack,3,compiler_key/0,old,552.5,465.6,760.8,1119.5,1809906.8,3,2,3,90,90
pack,3,compiler_key/0,new,188.1,180.8,212.5,412.0,5317408.8,1,0,1,27,27
pack,3,runtime_key/1,old,770.7,756.4,791.5,1690.6,1297516.5,2,4,2,140,140
pack,3,runtime_key/1,new,222.0,201.5,243.6,486.4,4504068.6,1,0,1,27,27
pack,3,compiler_key/1,old,1185.7,1161.2,1263.3,2598.3,843388.4,6,4,6,708,708
pack,3,compiler_key/1,new,337.2,319.5,360.2,740.5,2965537.2,1,0,1,27,27
pack,3,runtime_key/6,old,1318.1,1298.2,1445.3,2889.6,758659.0,2,6,2,380,380
pack,3,runtime_key/6,new,423.9,412.3,442.1,930.9,2358903.5,1,0,1,27,27
pack,3,compiler_key/6,old,2839.6,2805.0,2865.2,6220.9,352162.3,16,6,16,1045,1045
pack,3,compiler_key/6,new,830.7,819.2,878.4,1818.4,1203820.7,1,0,1,27,27
pack,3,runtime_key/11,old,1704.7,1626.9,1765.2,3738.3,586601.0,2,7,2,700,700
pack,3,runtime_key/11,new,493.4,467.0,554.2,1082.0,2026819.7,1,0,1,27,27
pack,3,compiler_key/11,old,3954.3,3761.2,4637.2,8405.6,252891.0,26,7,26,1454,1454
pack,3,compiler_key/11,new,1542.9,1443.2,2677.4,3213.9,648111.5,1,0,1,27,27
pack,3,pack_load/0x0,old,1016175.0,933112.5,1033275.0,2201393.0,984.1,51,25,51,167286,167286
