run,case,variant,ns,min_ns,max_ns,cycles,throughput,allocs,reallocs,frees,allocated_bytes,freed_bytes
2,audio/rejected512,old,23030093.8,22863187.5,24664081.2,50121603.2,22231.8,2566,2565,2566,609507,609507
2,graphics/empty/multifalse,new,79493.8,73481.2,87168.8,174626.0,12579.6,7,5,7,1368,1368
2,graphics/empty/multifalse,old,74625.0,72968.8,82593.8,163445.2,13400.3,7,5,7,1368,1368
2,graphics/empty/multitrue,new,76612.5,73487.5,86500.0,167780.3,13052.7,7,5,7,1368,1368
2,graphics/empty/multitrue,old,76493.8,72781.2,89631.2,167451.1,13073.0,7,5,7,1368,1368
2,noteskin/empty,new,101068.8,93906.2,109975.0,221983.1,9894.3,12,10,12,2582,2582
2,noteskin/empty,old,96568.8,92931.2,130125.0,211529.4,10355.3,12,10,12,2582,2582
2,graphics/one/multifalse,new,95800.0,87250.0,113025.0,209842.0,10438.4,18,12,18,3051,3051
2,graphics/one/multifalse,old,140450.0,133862.5,166100.0,307835.0,7120.0,18,12,18,3227,3227
2,graphics/one/multitrue,new,88537.5,87668.8,110143.8,193832.2,11294.6,18,12,18,3051,3051
2,graphics/one/multitrue,old,139193.8,136356.2,149912.5,305050.1,7184.2,18,12,18,3227,3227
2,noteskin/one,new,111262.5,104025.0,135962.5,243795.9,8987.8,21,15,21,4020,4020
2,noteskin/one,old,157437.5,151418.8,172975.0,342145.6,6351.7,21,15,21,4196,4196
2,graphics/accepted128/multifalse,new,575793.8,540231.2,657231.2,1257721.2,222301.8,1168,906,1168,204196,204196
2,graphics/accepted128/multifalse,old,6339437.5,6273825.0,6461543.8,13776560.8,20191.1,1168,906,1168,226724,226724
2,graphics/accepted128/multitrue,new,560937.5,530406.2,579818.8,1217347.0,228189.4,1168,906,1168,204196,204196
2,graphics/accepted128/multitrue,old,6355743.8,6255262.5,6499737.5,13825001.7,20139.3,1168,906,1168,226724,226724
2,noteskin/accepted128,new,493350.0,475187.5,527643.8,1068018.4,259450.7,916,655,916,170050,170050
2,noteskin/accepted128,old,6132250.0,6113200.0,6786225.0,13341278.8,20873.3,916,655,916,192578,192578
2,graphics/mixed640/multifalse,new,1020793.8,997231.2,1040825.0,2224481.8,626963.1,1680,906,1680,213412,213412
2,graphics/mixed640/multifalse,old,29682093.8,29352150.0,30323162.5,64596613.1,21561.8,3728,3466,3728,850340,850340
2,graphics/mixed640/multitrue,new,1003481.2,975775.0,1022675.0,2184628.6,637779.7,1680,906,1680,213412,213412
2,graphics/mixed640/multitrue,old,29567381.2,29288312.5,30489425.0,64347536.0,21645.5,3728,3466,3728,850340,850340
2,noteskin/mixed640,new,1004387.5,939968.8,1124650.0,2185822.2,637204.3,1428,655,1428,179266,179266
2,noteskin/mixed640,old,29232062.5,29152462.5,30931987.5,63653614.6,21893.8,3476,3215,3476,816194,816194
2,graphics/rejected512/multifalse,new,560456.2,531800.0,658956.2,1215371.6,913541.4,519,5,519,10584,10584
2,graphics/rejected512/multifalse,old,23759325.0,23555556.2,23863175.0,51709713.6,21549.4,2567,2565,2567,624984,624984
2,graphics/rejected512/multitrue,new,516050.0,505968.8,545550.0,1128312.3,992151.9,519,5,519,10584,10584
2,graphics/rejected512/multitrue,old,23754262.5,23276231.2,24698762.5,51699521.4,21554.0,2567,2565,2567,624984,624984
2,noteskin/rejected512,new,559812.5,548175.0,576568.8,1219212.9,914591.9,524,10,524,11798,11798
2,noteskin/rejected512,old,23682043.8,23508087.5,24284093.8,51555528.4,21619.8,2572,2570,2572,626198,626198
2,noteskin/nested768,new,2414131.2,2376493.8,2472387.5,5247998.0,318126.9,2451,1715,2451,641352,641352
2,noteskin/nested768,old,37535606.2,36792193.8,38097043.8,81686430.6,20460.6,4508,4787,4508,1785744,1785744
3,audio/empty,old,83231.2,77900.0,92500.0,182857.2,12014.7,6,5,6,1251,1251
3,audio/empty,new,79543.8,77906.2,85100.0,174310.4,12571.7,6,5,6,1251,1251
3,audio/one,old,151075.0,130337.5,168106.2,330114.2,6619.2,12,10,12,2567,2567
3,audio/one,new,90250.0,85493.8,102750.0,197769.5,11080.3,12,10,12,2411,2411
3,audio/accepted128,old,5879762.5,5735775.0,6133381.2,12876830.4,21769.6,647,650,647,161379,161379
3,audio/accepted128,new,389231.2,378206.2,408643.8,853004.4,328853.3,647,650,647,141411,141411
3,audio/mixed640,old,29128056.2,28667512.5,30116306.2,63783338.8,21971.9,3207,3210,3207,769635,769635
3,audio/mixed640,new,843893.8,821237.5,849493.8,1848670.2,758389.3,1159,650,1159,150627,150627
3,audio/rejected512,old,23221237.5,22829081.2,23446118.8,50846818.2,22048.8,2566,2565,2566,609507,609507
3,audio/rejected512,new,537687.5,518912.5,557681.2,1178426.9,952226.0,518,5,518,10467,10467
3,graphics/empty/multifalse,old,83950.0,78250.0,95243.8,183845.0,11911.9,7,5,7,1368,1368
3,graphics/empty/multifalse,new,78625.0,74593.8,94331.2,172142.9,12718.6,7,5,7,1368,1368
3,graphics/empty/multitrue,old,77787.5,73881.2,99775.0,170867.0,12855.5,7,5,7,1368,1368
3,graphics/empty/multitrue,new,80656.2,74256.2,92787.5,177150.2,12398.3,7,5,7,1368,1368
3,noteskin/empty,old,96768.8,95018.8,112100.0,212009.6,10333.9,12,10,12,2582,2582
3,noteskin/empty,new,98656.2,94493.8,102387.5,216235.0,10136.2,12,10,12,2582,2582
3,graphics/one/multifalse,old,142012.5,134862.5,153706.2,310921.8,7041.6,18,12,18,3227,3227
3,graphics/one/multifalse,new,90481.2,88068.8,97525.0,198729.8,11052.0,18,12,18,3051,3051
3,graphics/one/multitrue,old,141675.0,132981.2,151118.8,310633.6,7058.4,18,12,18,3227,3227
3,graphics/one/multitrue,new,91293.8,88775.0,98743.8,199964.5,10953.7,18,12,18,3051,3051
3,noteskin/one,old,159256.2,148768.8,166256.2,349279.4,6279.2,21,15,21,4196,4196
3,noteskin/one,new,109100.0,103143.8,116781.2,239186.4,9165.9,21,15,21,4020,4020
3,graphics/accepted128/multifalse,old,6414681.2,6228793.8,6552281.2,14048329.1,19954.2,1168,906,1168,226724,226724
3,graphics/accepted128/multifalse,new,532243.8,521693.8,544412.5,1166546.5,240491.3,1168,906,1168,204196,204196
3,graphics/accepted128/multitrue,old,6285087.5,6225237.5,6375587.5,13763912.7,20365.7,1168,906,1168,226724,226724
3,graphics/accepted128/multitrue,new,553906.2,523031.2,574343.8,1212806.0,231086.0,1168,906,1168,204196,204196
3,noteskin/accepted128,old,6082362.5,6043518.8,6390143.8,13316434.2,21044.5,916,655,916,192578,192578
3,noteskin/accepted128,new,520537.5,511406.2,545243.8,1140467.1,245899.7,916,655,916,170050,170050
3,graphics/mixed640/multifalse,old,29452081.2,29372168.8,29795568.8,64496494.8,21730.2,3728,3466,3728,850340,850340
3,graphics/mixed640/multifalse,new,991800.0,980550.0,1032075.0,2172062.1,645291.4,1680,906,1680,213412,213412
3,graphics/mixed640/multitrue,old,29727343.8,29296081.2,30946731.2,65083670.7,21529.0,3728,3466,3728,850340,850340
3,graphics/mixed640/multitrue,new,1036250.0,989193.8,1167843.8,2269657.4,617611.6,1680,906,1680,213412,213412
3,noteskin/mixed640,old,29244268.8,28902268.8,29840375.0,64020042.4,21884.6,3476,3215,3476,816194,816194
3,noteskin/mixed640,new,943887.5,922362.5,964506.2,2047166.8,678046.9,1428,655,1428,179266,179266
