stage,run,case,variant,ns_per_op,ns_min,ns_max,thread_cycles_per_op,actor_visits_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
rejected_stamp_removal,3,idle16,after,1231.2,1108.1,1415.2,2700.9,12994923.9,0,0,0,0,0
rejected_stamp_removal,3,idle128,before,9407.7,8988.1,9539.3,20558.1,13605907.5,0,0,0,0,0
rejected_stamp_removal,3,idle128,after,10650.9,10517.4,11113.8,23285.5,12017760.0,0,0,0,0,0
rejected_stamp_removal,3,idle1024,before,132221.3,126124.5,134170.8,289710.1,7744589.6,0,0,0,0,0
rejected_stamp_removal,3,idle1024,after,129033.4,116617.7,133338.1,282596.1,7935927.6,0,0,0,0,0
rejected_stamp_removal,3,active128,before,7284.3,7071.8,7509.1,15966.9,17572093.1,0,0,0,0,0
rejected_stamp_removal,3,active128,after,7577.5,7442.7,7647.2,16609.1,16892163.8,0,0,0,0,0
rejected_stamp_removal,3,reorder128,before,14371.5,14040.5,14523.1,31449.3,8906503.4,0,0,0,0,0
rejected_stamp_removal,3,reorder128,after,16203.6,15638.6,16548.7,35509.8,7899502.4,0,0,0,0,0
rejected_stamp_removal,3,duplicate128,before,13487.6,13350.4,13710.5,29556.1,9490191.5,0,0,0,0,0
rejected_stamp_removal,3,duplicate128,after,13768.1,13658.6,14119.5,30182.3,9296826.1,0,0,0,0,0
rejected_stamp_removal,3,expire128_keep0,before,15433.0,14591.0,55125.4,35924.7,8293911.4,0,0,128,0,241664
rejected_stamp_removal,3,expire128_keep0,after,11979.9,11780.1,12432.4,28198.9,10684578.6,0,0,128,0,241664
rejected_stamp_removal,3,expire128_keep64,before,9440.8,9044.3,10223.4,22729.4,13558143.9,0,0,64,0,120832
rejected_stamp_removal,3,expire128_keep64,after,8236.7,8069.1,8382.0,20247.2,15540168.8,0,0,64,0,120832
prefix_cleanup,1,idle16,before,910.7,859.7,935.3,1994.3,17569502.2,0,0,0,0,0
prefix_cleanup,1,idle16,after,844.8,833.0,1018.9,1853.0,18940493.0,0,0,0,0,0
prefix_cleanup,1,idle128,before,7896.7,7786.8,8044.8,17309.9,16209294.2,0,0,0,0,0
prefix_cleanup,1,idle128,after,7815.7,7750.3,7965.5,17120.8,16377270.0,0,0,0,0,0
prefix_cleanup,1,idle1024,before,107848.1,107322.4,108971.7,236230.2,9494838.3,0,0,0,0,0
prefix_cleanup,1,idle1024,after,107809.3,106517.2,108586.0,235389.4,9498249.6,0,0,0,0,0
prefix_cleanup,1,active128,before,6798.3,6755.7,6966.7,14866.9,18828295.2,0,0,0,0,0
prefix_cleanup,1,active128,after,6785.6,6600.3,6846.1,14845.8,18863487.5,0,0,0,0,0
prefix_cleanup,1,reorder128,before,14486.9,14016.5,14904.8,31664.9,8835589.9,0,0,0,0,0
prefix_cleanup,1,reorder128,after,13884.5,13775.6,15149.6,30428.2,9218890.8,0,0,0,0,0
prefix_cleanup,1,duplicate128,before,11938.0,11882.0,12043.0,26168.6,10722107.4,0,0,0,0,0
prefix_cleanup,1,duplicate128,after,11794.2,11561.2,11951.0,25848.3,10852768.1,0,0,0,0,0
prefix_cleanup,1,expire128_keep0,before,14844.5,13882.2,57670.1,34476.1,8622704.1,0,0,128,0,241664
prefix_cleanup,1,expire128_keep0,after,11189.8,11124.8,12140.6,26541.9,11438944.4,0,0,128,0,241664
prefix_cleanup,1,expire128_keep64,before,8116.2,7847.7,8421.7,19666.7,15770906.0,0,0,64,0,120832
prefix_cleanup,1,expire128_keep64,after,6490.2,6419.5,6582.0,16083.1,19721938.0,0,0,64,0,120832
prefix_cleanup,2,idle16,after,950.2,886.3,1056.5,2082.4,16838643.4,0,0,0,0,0
prefix_cleanup,2,idle16,before,887.4,849.1,931.2,1946.0,18029656.9,0,0,0,0,0
prefix_cleanup,2,idle128,after,8404.1,8307.3,8556.0,18422.6,15230636.3,0,0,0,0,0
prefix_cleanup,2,idle128,before,8379.1,8278.1,9004.5,18363.0,15276034.0,0,0,0,0,0
prefix_cleanup,2,idle1024,after,110623.8,109888.9,116041.9,242380.0,9256599.3,0,0,0,0,0
prefix_cleanup,2,idle1024,before,111981.6,111704.2,113515.7,245356.1,9144356.1,0,0,0,0,0
prefix_cleanup,2,active128,after,7250.8,7086.4,7382.4,15881.3,17653270.1,0,0,0,0,0
prefix_cleanup,2,active128,before,7523.1,7279.8,7747.3,16486.9,17014300.1,0,0,0,0,0
prefix_cleanup,2,reorder128,after,14626.9,14407.9,15062.6,32055.4,8751019.2,0,0,0,0,0
prefix_cleanup,2,reorder128,before,14615.1,14535.8,14716.1,32034.0,8758094.5,0,0,0,0,0
prefix_cleanup,2,duplicate128,after,12821.8,12578.6,13703.0,28098.0,9982977.3,0,0,0,0,0
prefix_cleanup,2,duplicate128,before,12811.3,12746.9,13122.0,28076.6,9991214.8,0,0,0,0,0
prefix_cleanup,2,expire128_keep0,after,11640.0,11255.1,55673.0,27610.2,10996526.7,0,0,128,0,241664
prefix_cleanup,2,expire128_keep0,before,13654.9,13443.9,13993.6,32079.6,9373936.2,0,0,128,0,241664
prefix_cleanup,2,expire128_keep64,after,6492.8,6343.6,6880.3,16154.2,19714225.6,0,0,64,0,120832
prefix_cleanup,2,expire128_keep64,before,8231.6,7985.2,8719.1,19848.0,15549755.6,0,0,64,0,120832
prefix_cleanup,3,idle16,before,888.6,856.3,966.5,1949.0,18006621.7,0,0,0,0,0
prefix_cleanup,3,idle16,after,908.0,867.7,997.1,1991.3,17620993.8,0,0,0,0,0
prefix_cleanup,3,idle128,before,8097.7,7932.2,8162.1,17750.1,15806995.3,0,0,0,0,0
prefix_cleanup,3,idle128,after,7979.2,7919.9,8125.2,17490.3,16041685.5,0,0,0,0,0
prefix_cleanup,3,idle1024,before,110653.5,109621.3,113972.5,242472.1,9254113.8,0,0,0,0,0
prefix_cleanup,3,idle1024,after,107490.2,107219.2,111676.0,235460.7,9526445.7,0,0,0,0,0
prefix_cleanup,3,active128,before,7070.2,6914.8,7676.3,15500.9,18104180.0,0,0,0,0,0
prefix_cleanup,3,active128,after,6902.6,6724.6,7034.9,15128.0,18543802.5,0,0,0,0,0
prefix_cleanup,3,reorder128,before,14826.4,14767.3,15036.4,32498.7,8633246.6,0,0,0,0,0
prefix_cleanup,3,reorder128,after,14759.4,14654.6,15656.3,32332.8,8672425.3,0,0,0,0,0
prefix_cleanup,3,duplicate128,before,12915.7,12656.4,14410.7,28302.8,9910439.2,0,0,0,0,0
prefix_cleanup,3,duplicate128,after,12747.0,12449.2,13228.7,27920.8,10041561.5,0,0,0,0,0
prefix_cleanup,3,expire128_keep0,before,14362.9,13611.9,59461.7,33368.3,8911855.1,0,0,128,0,241664
prefix_cleanup,3,expire128_keep0,after,11249.4,10925.4,11357.6,26468.6,11378370.4,0,0,128,0,241664
prefix_cleanup,3,expire128_keep64,before,8026.4,7664.6,8423.8,19343.4,15947438.9,0,0,64,0,120832
prefix_cleanup,3,expire128_keep64,after,6565.2,6456.4,6675.8,16213.4,19496638.3,0,0,64,0,120832
