affinity_mask,run,order,mode,case,version,median_ns,min_ns,max_ns,thread_cycles,items_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
2,1,old-first,tracked,tmesh_depth,new,67698.0,67171.1,70812.1,149486.3,30251980.6,0,0,0,0,0
2,1,old-first,tracked,tmesh_cameras,old,75184.8,73905.5,76806.6,166223.2,27239560.9,0,0,0,0,0
2,1,old-first,tracked,tmesh_cameras,new,88067.6,78623.0,104163.7,192387.4,23254869.1,0,0,0,0,0
2,1,old-first,tracked,mixed,old,49403.5,45641.0,57295.7,108575.3,41454539.7,0,0,0,0,0
2,1,old-first,tracked,mixed,new,48309.8,46491.4,50137.9,104289.9,42393085.0,0,0,0,0,0
2,2,new-first,untracked,sprites_layers,new,3657.4,3512.9,3858.2,9788.3,559957278.7,0,0,0,0,0
2,2,new-first,untracked,sprites_layers,old,5761.3,5395.7,6409.4,13867.9,355473591.4,0,0,0,0,0
2,2,new-first,untracked,sprites_16layers,new,5009.0,4299.6,5714.1,11877.9,408865320.1,0,0,0,0,0
2,2,new-first,untracked,sprites_16layers,old,4671.9,3957.8,4793.4,12316.0,438367893.0,0,0,0,0,0
2,2,new-first,untracked,sprites_same_z,new,3400.4,3320.3,3577.3,9025.2,602283745.0,0,0,0,0,0
2,2,new-first,untracked,sprites_same_z,old,3772.7,3680.5,4073.4,9887.8,542853592.9,0,0,0,0,0
2,2,new-first,untracked,sprites_textures,new,12278.9,12053.1,12586.7,28525.6,166790099.9,0,0,0,0,0
2,2,new-first,untracked,sprites_textures,old,13237.5,13002.3,13641.8,31006.1,154711992.4,0,0,0,0,0
2,2,new-first,untracked,sprites_fragmented,new,15628.1,13466.8,16473.4,36564.8,131045790.8,0,0,0,0,0
2,2,new-first,untracked,sprites_fragmented,old,16016.8,15760.2,16484.4,37154.6,127865765.9,0,0,0,0,0
2,2,new-first,untracked,meshes_layers,new,59730.5,57596.1,61306.6,133560.6,34287358.6,0,0,0,0,0
2,2,new-first,untracked,meshes_layers,old,52270.3,49039.8,55312.5,116977.2,39180940.4,0,0,0,0,0
2,2,new-first,untracked,meshes_same_z,new,58084.4,52019.9,59461.3,130033.2,35259052.0,0,0,0,0,0
2,2,new-first,untracked,meshes_same_z,old,52782.8,48493.8,59555.5,118275.3,38800509.2,0,0,0,0,0
2,2,new-first,untracked,meshes_cameras,new,69645.7,67638.7,70995.7,155307.4,29405977.8,0,0,0,0,0
2,2,new-first,untracked,meshes_cameras,old,69016.4,56959.8,70425.0,153978.4,29674103.8,0,0,0,0,0
2,2,new-first,untracked,tmesh_layers,new,74928.5,67192.2,83076.6,166944.3,27332718.2,0,0,0,0,0
2,2,new-first,untracked,tmesh_layers,old,83214.1,82329.3,84682.0,185063.4,24611224.8,0,0,0,0,0
