stage,run,case,variant,iterations,ns_per_op,ns_min,ns_max,thread_cycles_per_op,frames_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
unchanged_short_control,0,stereo4096,before,8192,54555.6,49754.8,55902.0,119556.9,75079347.6,0,0,0,0,0
unchanged_short_control,0,stereo4096,after,8192,50863.6,50380.0,54872.1,111477.8,80529045.5,0,0,0,0,0
unchanged_short_control,0,surround256,before,8192,6231.1,6018.9,6473.8,13661.2,41084457.0,0,0,0,0,0
unchanged_short_control,0,surround256,after,8192,6564.7,6344.6,6761.1,14377.0,38996176.9,0,0,0,0,0
unchanged_short_control,0,fade_in256,before,8192,3047.2,2812.2,3222.0,6679.4,84012771.3,0,0,0,0,0
unchanged_short_control,0,fade_in256,after,8192,2991.7,2867.7,3113.0,6557.9,85571147.0,0,0,0,0,0
unchanged_short_control,0,cross_silence,before,8192,3021.7,2888.4,3091.7,6625.3,84720748.8,0,0,0,0,0
unchanged_short_control,0,cross_silence,after,8192,2904.2,2817.4,3135.4,6368.6,88149334.4,0,0,0,0,0
unchanged_short_control,0,unity,before,8192,41.2,41.2,52.2,90.6,6215625370.5,0,0,0,0,0
unchanged_short_control,0,unity,after,8192,57.6,43.5,67.5,127.1,4445944456.2,0,0,0,0,0
unchanged_short_control,0,silence,before,8192,51.1,51.1,63.1,112.3,5012313575.5,0,0,0,0,0
unchanged_short_control,0,silence,after,8192,57.4,51.1,64.3,126.0,4458231292.5,0,0,0,0,0
final,1,mono256,before,8192,1902.6,1820.8,1988.5,4166.6,134550983.9,0,0,0,0,0
final,1,mono256,after,8192,2071.3,1738.2,2301.7,4540.0,123591617.4,0,0,0,0,0
final,1,stereo256,before,8192,3527.8,3485.1,3677.0,7725.1,72567068.6,0,0,0,0,0
final,1,stereo256,after,8192,3102.9,2746.5,3271.9,6800.8,82502999.7,0,0,0,0,0
final,1,stereo4096,before,8192,53216.6,52856.1,55752.3,116640.3,76968480.1,0,0,0,0,0
final,1,stereo4096,after,8192,49767.3,48646.9,50280.6,109080.6,82302962.0,0,0,0,0,0
final,1,surround256,before,8192,7260.2,7157.4,7482.2,15914.2,35260830.5,0,0,0,0,0
final,1,surround256,after,8192,6528.4,6459.3,6787.2,14307.7,39213102.2,0,0,0,0,0
final,1,fade_in256,before,8192,3104.5,2961.4,3252.1,6805.9,82460502.8,0,0,0,0,0
final,1,fade_in256,after,8192,2982.4,2789.3,3188.7,6536.3,85836280.3,0,0,0,0,0
final,1,cross_silence,before,8192,3415.5,3222.0,6035.0,7484.6,74952090.6,0,0,0,0,0
final,1,cross_silence,after,8192,3006.7,2797.9,3310.1,6589.6,85143478.9,0,0,0,0,0
final,1,unity,before,262144,44.7,40.3,46.0,98.0,5723814576.3,0,0,0,0,0
final,1,unity,after,262144,44.6,43.5,46.1,97.8,5740215892.6,0,0,0,0,0
final,1,silence,before,262144,62.6,59.9,67.7,137.1,4091455048.7,0,0,0,0,0
final,1,silence,after,262144,63.9,61.1,69.9,140.1,4005184208.2,0,0,0,0,0
final,2,mono256,after,8192,1802.3,1754.8,2042.1,3952.9,142040163.9,0,0,0,0,0
final,2,mono256,before,8192,1931.4,1872.2,1961.5,4234.6,132544905.3,0,0,0,0,0
final,2,stereo256,after,8192,2787.2,2729.0,2883.3,6111.6,91847816.1,0,0,0,0,0
final,2,stereo256,before,8192,3057.6,2975.2,3239.2,6703.9,83726998.7,0,0,0,0,0
final,2,stereo4096,after,8192,45197.8,43674.6,50013.8,98777.2,90623801.0,0,0,0,0,0
final,2,stereo4096,before,8192,56816.3,55845.7,58291.8,123951.6,72091976.8,0,0,0,0,0
final,2,surround256,after,8192,7726.3,7077.5,8001.6,16882.0,33133556.3,0,0,0,0,0
final,2,surround256,before,8192,8303.9,7757.2,8462.0,18157.6,30828909.7,0,0,0,0,0
final,2,fade_in256,after,8192,3049.3,2854.4,3371.1,6685.9,83953914.8,0,0,0,0,0
final,2,fade_in256,before,8192,3594.8,3476.6,3723.6,7872.8,71213496.0,0,0,0,0,0
final,2,cross_silence,after,8192,3134.7,3070.7,3474.9,6871.7,81665433.5,0,0,0,0,0
final,2,cross_silence,before,8192,3490.2,3214.7,3759.7,7646.0,73347509.8,0,0,0,0,0
final,2,unity,after,262144,42.2,40.9,45.9,92.6,6061735179.6,0,0,0,0,0
final,2,unity,before,262144,43.8,42.6,46.4,96.0,5850612358.8,0,0,0,0,0
final,2,silence,after,262144,56.5,55.9,59.2,123.8,4528202318.5,0,0,0,0,0
final,2,silence,before,262144,56.0,54.3,59.6,122.8,4569425254.5,0,0,0,0,0
final,3,mono256,before,8192,2183.5,2117.6,2256.5,4785.1,117241857.4,0,0,0,0,0
final,3,mono256,after,8192,2005.8,1931.4,2153.6,4396.9,127631532.5,0,0,0,0,0
final,3,stereo256,before,8192,3523.7,3423.2,3737.4,7721.0,72651285.2,0,0,0,0,0
final,3,stereo256,after,8192,3213.7,3095.5,3438.7,7043.9,79659354.6,0,0,0,0,0
final,3,stereo4096,before,8192,55938.1,54012.5,56280.8,122593.1,73223734.1,0,0,0,0,0
final,3,stereo4096,after,8192,49971.7,49735.3,50869.2,109518.3,81966326.2,0,0,0,0,0
final,3,surround256,before,8192,8032.0,7814.7,8398.9,17607.2,31872531.3,0,0,0,0,0
final,3,surround256,after,8192,7527.4,7404.6,7670.6,16459.9,34009065.2,0,0,0,0,0
final,3,fade_in256,before,8192,3636.0,3555.4,3874.7,7962.6,70407541.8,0,0,0,0,0
final,3,fade_in256,after,8192,3257.9,3136.9,3408.1,7136.8,78577685.9,0,0,0,0,0
final,3,cross_silence,before,8192,3608.6,3576.0,3683.2,7907.6,70941042.4,0,0,0,0,0
final,3,cross_silence,after,8192,3157.0,3092.6,3446.2,6921.3,81088525.9,0,0,0,0,0
final,3,unity,before,262144,43.7,42.1,45.8,95.8,5859654404.6,0,0,0,0,0
final,3,unity,after,262144,43.6,42.6,45.2,95.6,5871343056.4,0,0,0,0,0
final,3,silence,before,262144,71.9,63.6,72.9,157.6,3561398898.3,0,0,0,0,0
final,3,silence,after,262144,66.8,64.5,68.5,146.4,3833609286.3,0,0,0,0,0
