"run","case","storage","variant","median_ns","min_ns","max_ns","thread_cycles","units_per_second","allocs","reallocs","frees","allocated_bytes","freed_bytes"
"3","triangle-runs","shared","after","10443.7","10292.5","10687","22887.9","24512325.4","0","0","0","0","0"
"3","triangle-runs","reusable","before","12951.5","12811.2","13304.4","28385.4","19766085.3","0","0","0","0","0"
"3","triangle-runs","reusable","after","10864.8","10805.3","11065","23811.1","23562261.3","0","0","0","0","0"
"3","triangle-runs-general","shared","before","13239.6","13058","13318.5","29016.1","19335985.7","0","0","0","0","0"
"3","triangle-runs-general","shared","after","10427.8","10305.9","11704","22862.1","24549858.2","0","0","0","0","0"
"3","triangle-runs-general","reusable","before","11135.7","10929.2","11672","24403.7","22989214.4","0","0","0","0","0"
"3","triangle-runs-general","reusable","after","11037.5","9725.1","11404","24187.2","23193606.7","0","0","0","0","0"
"3","triangle-groups","shared","before","10374.8","10095","10696.4","22712.3","24675250.4","0","0","0","0","0"
"3","triangle-groups","shared","after","9831.6","9805.7","10274.2","21546.3","26038412.9","0","0","0","0","0"
"3","triangle-groups","reusable","before","10330.7","10245.2","10473.6","22641.9","24780594.8","0","0","0","0","0"
"3","triangle-groups","reusable","after","10249.3","10025.7","10402.5","22468.1","24977275.5","0","0","0","0","0"
"3","triangle-one-run","shared","before","9988.9","9863.2","10033.3","21884.8","25628406.5","0","0","0","0","0"
"3","triangle-one-run","shared","after","9648.4","9611.3","9730.5","21152.1","26532760","0","0","0","0","0"
"3","triangle-one-run","reusable","before","10195.6","10098","10334.3","22352.9","25108827","0","0","0","0","0"
"3","triangle-one-run","reusable","after","9744","9256","10027.4","21356.8","26272659.6","0","0","0","0","0"
"3","large-runs","shared","before","116961.9","114264.3","123404.1","256244.8","2188746.7","0","0","0","0","0"
"3","large-runs","shared","after","116538.5","114935.7","121005.5","255384.4","2196699.4","0","0","0","0","0"
"3","large-runs","reusable","before","124780.3","117993.8","128266","273398.8","2051606.3","0","0","0","0","0"
"3","large-runs","reusable","after","126246.3","123091.8","128667","276671.2","2027782.4","0","0","0","0","0"
